video,event_index,human_time_s,human_label,model_time_s,delta_s,model_label,model_region_idx,model_confidence,matched,note
DJI_0064,1,493.909000,R,493.827,0.082,R,0,0.968262,1,
DJI_0064,2,563.370000,G,563.480,0.110,G,0,0.966797,1,
DJI_0064,3,612.352000,R,612.278,0.074,R,0,0.965820,1,
DJI_0064,4,676.437000,G,676.509,0.072,G,0,0.966797,1,
DJI_0064,5,723.968000,R,724.057,0.089,R,0,0.967285,1,
DJI_0064,6,785.152000,G,784.951,0.201,G,0,0.965820,1,
DJI_0064,7,889.173000,G,889.222,0.049,G,0,0.967285,1,
DJI_0064,8,930.554000,R,930.513,0.041,R,0,0.967285,1,
DJI_0065,1,72.874000,G,72.990,0.116,G,0,0.967773,1,
DJI_0065,2,121.429000,R,121.371,0.058,R,0,0.967285,1,
DJI_0065,3,180.842000,G,181.014,0.172,G,0,0.967773,1,
DJI_0065,4,235.093000,R,235.235,0.142,R,0,0.966797,1,
DJI_0065,5,283.520000,G,283.617,0.097,G,0,0.966797,1,
DJI_0065,6,321.109000,R,321.154,0.045,R,0,0.968262,1,
DJI_0065,7,390.400000,G,390.390,0.010,G,0,0.966797,1,
DJI_0065,8,421.461000,R,421.254,0.207,R,0,0.967773,1,
DJI_0065,9,501.674000,G,501.751,0.077,G,0,0.967773,1,
DJI_0065,10,559.018000,R,558.892,0.126,R,0,0.966797,1,
DJI_0065,11,616.362000,G,616.449,0.087,G,0,0.966797,1,
DJI_0065,12,672.341000,R,672.338,0.003,R,0,0.968750,1,
DJI_0065,13,726.613000,G,726.559,0.054,G,0,0.966309,1,
DJI_0065,14,784.512000,R,784.534,0.022,R,0,0.966309,1,
DJI_0065,15,830.720000,G,830.830,0.110,G,0,0.966309,1,
DJI_0065,16,883.285000,R,883.382,0.097,R,0,0.966797,1,
DJI_0066,1,10.453000,G,10.427,0.026,G,0,0.966309,1,
DJI_0066,2,47.424000,R,47.547,0.123,R,0,0.965332,1,
DJI_0066,3,120.128000,G,120.120,0.008,G,0,0.965820,1,
DJI_0066,4,173.717000,R,173.924,0.207,R,0,0.965332,1,
DJI_0066,5,233.792000,G,233.984,0.192,G,0,0.965332,1,
DJI_0066,6,279.402000,R,279.446,0.044,R,0,0.965820,1,
DJI_0066,7,347.114000,G,347.013,0.101,G,0,0.965332,1,
DJI_0066,8,397.120000,R,397.063,0.057,R,0,0.965332,1,
DJI_0066,9,461.120000,G,461.294,0.174,G,0,0.965332,1,
DJI_0066,10,512.320000,R,512.178,0.142,R,0,0.965332,1,
DJI_0066,11,567.616000,G,567.650,0.034,G,0,0.965820,1,
DJI_0066,12,676.053000,G,676.092,0.039,G,0,0.966309,1,
DJI_0066,13,731.477000,R,731.564,0.087,R,0,0.964844,1,
DJI_0066,14,784.704000,G,784.534,0.170,G,0,0.964844,1,
DJI_0066,15,827.370000,R,827.493,0.123,R,0,0.964355,1,
DJI_0066,16,890.837000,G,890.890,0.053,G,0,0.965820,1,
DJI_0067,1,8.789000,R,8.759,0.030,R,0,0.966309,1,
DJI_0067,2,73.642000,G,73.824,0.182,G,0,0.966797,1,
DJI_0067,3,110.357000,R,110.527,0.170,R,0,0.966797,1,
DJI_0067,4,190.336000,G,190.190,0.146,G,0,0.966797,1,
DJI_0067,5,235.861000,R,236.069,0.208,R,0,0.966797,1,
DJI_0067,6,298.581000,G,298.632,0.051,G,0,0.965332,1,
DJI_0067,7,349.888000,R,349.933,0.045,R,0,0.966309,1,
DJI_0067,8,407.872000,G,407.907,0.035,G,0,0.966309,1,
DJI_0067,9,443.221000,R,443.360,0.139,R,0,0.965820,1,
DJI_0067,10,518.058000,G,518.017,0.041,G,0,0.966797,1,
DJI_0067,11,566.506000,R,566.399,0.107,R,0,0.965820,1,
DJI_0067,12,630.357000,G,630.213,0.144,G,0,0.966797,1,
DJI_0067,13,681.557000,R,681.514,0.043,R,0,0.965332,1,
DJI_0067,14,739.477000,G,739.489,0.012,G,0,0.966797,1,
DJI_0067,15,790.784000,R,790.790,0.006,R,0,0.965820,1,
DJI_0067,16,846.421000,G,846.262,0.159,G,0,0.966797,1,
DJI_0067,17,891.136000,R,891.307,0.171,R,0,0.966797,1,
DJI_0068,1,21.098000,G,21.271,0.173,G,0,0.965332,1,
DJI_0068,2,54.805000,R,54.638,0.167,R,0,0.964844,1,
DJI_0068,3,132.714000,G,132.632,0.082,G,0,0.966797,1,
DJI_0068,4,179.818000,R,179.763,0.055,R,0,0.965820,1,
DJI_0068,5,247.082000,G,246.913,0.169,G,0,0.966797,1,
DJI_0068,6,286.997000,R,286.953,0.044,R,0,0.965332,1,
DJI_0068,7,360.149000,G,359.943,0.206,G,0,0.966309,1,
DJI_0068,8,407.274000,R,407.073,0.201,R,0,0.965332,1,
DJI_0068,9,470.656000,G,470.470,0.186,G,0,0.966309,1,
DJI_0068,10,515.349000,R,515.515,0.166,R,0,0.964355,1,
DJI_0068,11,582.250000,G,582.248,0.002,G,0,0.966309,1,
DJI_0068,12,626.282000,R,626.459,0.177,R,0,0.964355,1,
DJI_0068,13,693.866000,G,694.027,0.161,G,0,0.966309,1,
DJI_0068,14,736.661000,R,736.569,0.092,R,0,0.963867,1,
